B V {'rel_weight': 0.9401935948040371, 'rel_center': 0.995259710596976, 'rel_inertia': 0.9983245193174589}
B Y {'rel_weight': 0.9489421768871417, 'rel_center': 0.9957632452442858, 'rel_inertia': 0.9983543135775517}
B Z {'rel_weight': 0.9680419006894722, 'rel_center': 0.9956347672760731, 'rel_inertia': 0.9991989293347967}
C A {'rel_weight': 0.9985471318091292, 'rel_center': 0.9873634179494454, 'rel_inertia': 0.9981099396204526}
C B {'rel_weight': 0.9382964636114375, 'rel_center': 0.9897092822887493, 'rel_inertia': 0.9982843538968498}
C C {'rel_weight': 0.9950103523687152, 'rel_center': 0.999267922030305, 'rel_inertia': 0.9996023119120052}
C Ç {'rel_weight': 0.9849072590105584, 'rel_center': 0.997373524528601, 'rel_inertia': 0.9988317719138097}
C D {'rel_weight': 0.9409553190772807, 'rel_center': 0.991010950265862, 'rel_inertia': 0.9979842350508806}
C E {'rel_weight': 0.9736280262325004, 'rel_center': 0.9972278104161053, 'rel_inertia': 0.998830478504521}
C F {'rel_weight': 0.9880343405961728, 'rel_center': 0.9951107572244087, 'rel_inertia': 0.998623018350087}
C G {'rel_weight': 0.9688203473241361, 'rel_center': 0.9965927646601694, 'rel_inertia': 0.9982264832760949}
C Ğ {'rel_weight': 0.9541631975391579, 'rel_center': 0.9913842267904998, 'rel_inertia': 0.9958266715540854}
C H {'rel_weight': 0.9270311661345632, 'rel_center': 0.9892944670860427, 'rel_inertia': 0.9968539693673695}
C I {'rel_weight': 0.9860543603829215, 'rel_center': 0.9920877089891331, 'rel_inertia': 0.9975437893224735}
C İ {'rel_weight': 0.9962494267288904, 'rel_center': 0.9916668802752512, 'rel_inertia': 0.9972579591122742}
C J {'rel_weight': 0.9972193236912735, 'rel_center': 0.9894917831201352, 'rel_inertia': 0.9980547353881702}
C K {'rel_weight': 0.9434999050734179, 'rel_center': 0.9985352057745704, 'rel_inertia': 0.9984320941866813}
C L {'rel_weight': 0.998633530676468, 'rel_center': 0.9958078392446758, 'rel_inertia': 0.9991793592113285}
C M {'rel_weight': 0.9154676532123583, 'rel_center': 0.9820854856435914, 'rel_inertia': 0.9940490382882332}
C N {'rel_weight': 0.9807684745590101, 'rel_center': 0.9905570570043413, 'rel_inertia': 0.9993671888300673}
C O {'rel_weight': 0.949048942004753, 'rel_center': 0.9909215288598398, 'rel_inertia': 0.9971825356749408}
C Ö {'rel_weight': 0.9327111948970248, 'rel_center': 0.984296335409877, 'rel_inertia': 0.9946157314939291}
C P {'rel_weight': 0.9775326976241632, 'rel_center': 0.9911910403012775, 'rel_inertia': 0.9984895301055327}
C R {'rel_weight': 0.9343667086776442, 'rel_center': 0.9923624190299672, 'rel_inertia': 0.9980822687700249}
C S {'rel_weight': 0.992956288974243, 'rel_center': 0.9921991426941249, 'rel_inertia': 0.998726975623898}
C Ş {'rel_weight': 0.9828587697365597, 'rel_center': 0.9913423155813418, 'rel_inertia': 0.9987373968621654}
C T {'rel_weight': 0.9956458021026903, 'rel_center': 0.990963623022076, 'rel_inertia': 0.9980623294136721}
C U {'rel_weight': 0.9901023392918286, 'rel_center': 0.9983913844459676, 'rel_inertia': 0.999603737802439}
C Ü {'rel_weight': 0.9737729533648105, 'rel_center': 0.9901799468574125, 'rel_inertia': 0.9959665642825906}
C V {'rel_weight': 0.995783987669356, 'rel_center': 0.9943384180317493, 'rel_inertia': 0.9989154221908919}
C Y {'rel_weight': 0.9954674302475394, 'rel_center': 0.9943602109546038, 'rel_inertia': 0.998665849960133}
C Z {'rel_weight': 0.9763677064452089, 'rel_center': 0.9926009814620532, 'rel_inertia': 0.9987451590672433}
Ç A {'rel_weight': 0.9917680960766442, 'rel_center': 0.9886750632294278, 'rel_inertia': 0.9974629990588932}
Ç B {'rel_weight': 0.9479812357256641, 'rel_center': 0.9879270722024492, 'rel_inertia': 0.9990114558180884}
Ç C {'rel_weight': 0.9953048755170583, 'rel_center': 0.9964379438351454, 'rel_inertia': 0.9995545506272312}
Ç Ç {'rel_weight': 0.994592031124785, 'rel_center': 0.9994057396593551, 'rel_inertia': 0.9995489966531922}
Ç D {'rel_weight': 0.9506400911915073, 'rel_center': 0.9889572764954155, 'rel_inertia': 0.9984889335042972}
Ç E {'rel_weight': 0.983312798346727, 'rel_center': 0.9948610621717632, 'rel_inertia': 0.9993772134720952}
Ç F {'rel_weight': 0.9977191127103994, 'rel_center': 0.9926022282199642, 'rel_inertia': 0.9988004438902767}
Ç G {'rel_weight': 0.9785051194383627, 'rel_center': 0.9955959003443674, 'rel_inertia': 0.9983219708480894}
Ç Ğ {'rel_weight': 0.9638479696533845, 'rel_center': 0.9886476516503069, 'rel_inertia': 0.9964957147630317}
Ç H {'rel_weight': 0.9367159382487897, 'rel_center': 0.9871936226688331, 'rel_inertia': 0.9973540352452348}
Ç I {'rel_weight': 0.9763695882686949, 'rel_center': 0.9923205491700686, 'rel_inertia': 0.9972194284308475}
Ç İ {'rel_weight': 0.9865646546146638, 'rel_center': 0.9901858253260514, 'rel_inertia': 0.9975584514585055}
Ç J {'rel_weight': 0.987534551577047, 'rel_center': 0.9899754367530093, 'rel_inertia': 0.997693293149269}
Ç K {'rel_weight': 0.9531846771876444, 'rel_center': 0.9961362705431027, 'rel_inertia': 0.9988552203130149}
Ç L {'rel_weight': 0.9916816972093054, 'rel_center': 0.9987651136817206, 'rel_inertia': 0.9986445568261717}
Ç M {'rel_weight': 0.9251524253265849, 'rel_center': 0.9802219141130156, 'rel_inertia': 0.9943631659517913}
Ç N {'rel_weight': 0.9904532466732366, 'rel_center': 0.9887786885788836, 'rel_inertia': 0.9998158949938298}
Ç O {'rel_weight': 0.9587337141189796, 'rel_center': 0.9892607923493988, 'rel_inertia': 0.9973351082878166}
Ç Ö {'rel_weight': 0.9423959670112514, 'rel_center': 0.9817270262677624, 'rel_inertia': 0.9952438232845457}
Ç P {'rel_weight': 0.9872174697383898, 'rel_center': 0.9887363814055986, 'rel_inertia': 0.9989566152334752}
Ç R {'rel_weight': 0.9440514807918707, 'rel_center': 0.9901245441938736, 'rel_inertia': 0.998735418528945}
Ç S {'rel_weight': 0.9973589389115304, 'rel_center': 0.9918795408876278, 'rel_inertia': 0.998325205299998}
Ç Ş {'rel_weight': 0.9925435418507863, 'rel_center': 0.9921751368831648, 'rel_inertia': 0.9987482207381853}
Ç T {'rel_weight': 0.9946694257830831, 'rel_center': 0.9892357404761687, 'rel_inertia': 0.9983728244394178}
Ç U {'rel_weight': 0.9997871114060551, 'rel_center': 0.9958233957488865, 'rel_inertia': 0.9996157054764219}
Ç Ü {'rel_weight': 0.9834577254790371, 'rel_center': 0.9872412316888837, 'rel_inertia': 0.9967122549566595}
Ç V {'rel_weight': 0.9860992155551295, 'rel_center': 0.992011698217812, 'rel_inertia': 0.9987360096639996}
Ç Y {'rel_weight': 0.994847797638234, 'rel_center': 0.9925716984965688, 'rel_inertia': 0.9986685831344234}
Ç Z {'rel_weight': 0.9860524785594355, 'rel_center': 0.9919183361451823, 'rel_inertia': 0.9992562336815469}
D A {'rel_weight': 0.9488618018042297, 'rel_center': 0.9881390947141636, 'rel_inertia': 0.9965868881418001}
D B {'rel_weight': 0.9908875299980785, 'rel_center': 0.9981496277064871, 'rel_inertia': 0.99909640703495}
D C {'rel_weight': 0.9523985812446438, 'rel_center': 0.9914295669249813, 'rel_inertia': 0.9988581896571952}
D Ç {'rel_weight': 0.9625016746028006, 'rel_center': 0.9895802548511543, 'rel_inertia': 0.9991867916427033}
D D {'rel_weight': 0.9935463854639217, 'rel_center': 0.9990689860315828, 'rel_inertia': 0.9995071026597802}
D E {'rel_weight': 0.9737809073808585, 'rel_center': 0.9942946709979824, 'rel_inertia': 0.9984313877297157}
D F {'rel_weight': 0.9593745930171862, 'rel_center': 0.9959405850853653, 'rel_inertia': 0.9977432891113823}
D G {'rel_weight': 0.9785885862892229, 'rel_center': 0.9939918233544927, 'rel_inertia': 0.999138131115048}
D Ğ {'rel_weight': 0.9932457360742011, 'rel_center': 0.9953367888947324, 'rel_inertia': 0.9972453259790038}
D H {'rel_weight': 0.9796222325212042, 'rel_center': 0.9974386782938294, 'rel_inertia': 0.9983814564703061}
D I {'rel_weight': 0.9334632939962805, 'rel_center': 0.993350199476584, 'rel_inertia': 0.9961477801391786}
D İ {'rel_weight': 0.9436583603422494, 'rel_center': 0.9984013465563343, 'rel_inertia': 0.9966316778009012}
D J {'rel_weight': 0.9446282573046325, 'rel_center': 0.9917824278602382, 'rel_inertia': 0.996634601033738}
